Hobby,Personality,Stream,Career_Goal,Recommended_Courses,Nearby_Colleges,College_Websites,Course_Type,Average_Fees
coding,Analytical,Science,Software Developer,B.Tech in Computer Science,IIT Bombay | IIIT Hyderabad | VIT Vellore,https://www.iitb.ac.in | https://www.iiit.ac.in | https://vit.ac.in,full-time,309996
gaming,Social,Science,Nurse,Diploma in Nursing,SRM University | IIT Delhi | IIT Bombay,https://www.srmist.edu.in | https://home.iitd.ac.in | https://www.iitb.ac.in,part-time,24632
coding,Analytical,Science,Pharmacist,B.Pharm,Jamia Hamdard | Manipal University | LPU,https://jamiahamdard.edu | https://manipal.edu | https://www.lpu.in,full-time,310822
coding,Analytical,Science,Pharmacist,Diploma in Pharmacy,IIT Delhi | AIIMS Delhi | VIT Vellore,https://home.iitd.ac.in | https://www.aiims.edu | https://vit.ac.in,part-time,69353
reading,Analytical,Science,Pharmacist,B.Pharm,Jamia Hamdard | Manipal University | LPU,https://jamiahamdard.edu | https://manipal.edu | https://www.lpu.in,full-time,218712
reading,Analytical,Science,Pharmacist,Diploma in Pharmacy,IIT Delhi | IIT Bombay | VIT Vellore,https://home.iitd.ac.in | https://www.iitb.ac.in | https://vit.ac.in,part-time,25057
drawing,Analytical,Science,Pharmacist,B.Pharm,Jamia Hamdard | Manipal University | LPU,https://jamiahamdard.edu | https://manipal.edu | https://www.lpu.in,full-time,276285
drawing,Analytical,Science,Pharmacist,Diploma in Pharmacy,IIT Bombay | VIT Vellore | SRM University,https://www.iitb.ac.in | https://vit.ac.in | https://www.srmist.edu.in,part-time,20961
public speaking,Analytical,Science,Pharmacist,B.Pharm,Jamia Hamdard | Manipal University | LPU,https://jamiahamdard.edu | https://manipal.edu | https://www.lpu.in,full-time,212542
public speaking,Analytical,Science,Pharmacist,Diploma in Pharmacy,SRM University | AIIMS Delhi | IIT Bombay,https://www.srmist.edu.in | https://www.aiims.edu | https://www.iitb.ac.in,part-time,67376
research,Analytical,Science,Pharmacist,B.Pharm,Jamia Hamdard | Manipal University | LPU,https://jamiahamdard.edu | https://manipal.edu | https://www.lpu.in,full-time,324136
research,Analytical,Science,Pharmacist,Diploma in Pharmacy,IIT Bombay | IIT Delhi | AIIMS Delhi,https://www.iitb.ac.in | https://home.iitd.ac.in | https://www.aiims.edu,part-time,61914
social work,Analytical,Science,Pharmacist,B.Pharm,Jamia Hamdard | Manipal University | LPU,https://jamiahamdard.edu | https://manipal.edu | https://www.lpu.in,full-time,134689
social work,Analytical,Science,Pharmacist,Diploma in Pharmacy,IIT Bombay | AIIMS Delhi | VIT Vellore,https://www.iitb.ac.in | https://www.aiims.edu | https://vit.ac.in,part-time,73763
designing,Analytical,Science,Pharmacist,B.Pharm,Jamia Hamdard | Manipal University | LPU,https://jamiahamdard.edu | https://manipal.edu | https://www.lpu.in,full-time,339471
designing,Analytical,Science,Pharmacist,Diploma in Pharmacy,IIT Delhi | SRM University | AIIMS Delhi,https://home.iitd.ac.in | https://www.srmist.edu.in | https://www.aiims.edu,part-time,77390
gaming,Analytical,Science,Pharmacist,B.Pharm,Jamia Hamdard | Manipal University | LPU,https://jamiahamdard.edu | https://manipal.edu | https://www.lpu.in,full-time,108433
gaming,Analytical,Science,Pharmacist,Diploma in Pharmacy,VIT Vellore | IIT Delhi | SRM University,https://vit.ac.in | https://home.iitd.ac.in | https://www.srmist.edu.in,part-time,24667
coding,Social,Science,Physiotherapist,BPT (Bachelor of Physiotherapy),Manipal University | SRM University | LPU,https://manipal.edu | https://www.srmist.edu.in | https://www.lpu.in,full-time,121618
coding,Social,Science,Physiotherapist,Diploma in Physiotherapy,SRM University | AIIMS Delhi | IIT Bombay,https://www.srmist.edu.in | https://www.aiims.edu | https://www.iitb.ac.in,part-time,17604
reading,Social,Science,Physiotherapist,BPT (Bachelor of Physiotherapy),Manipal University | SRM University | LPU,https://manipal.edu | https://www.srmist.edu.in | https://www.lpu.in,full-time,330545
reading,Social,Science,Physiotherapist,Diploma in Physiotherapy,SRM University | AIIMS Delhi | VIT Vellore,https://www.srmist.edu.in | https://www.aiims.edu | https://vit.ac.in,part-time,35887
drawing,Social,Science,Physiotherapist,BPT (Bachelor of Physiotherapy),Manipal University | SRM University | LPU,https://manipal.edu | https://www.srmist.edu.in | https://www.lpu.in,full-time,326226
drawing,Social,Science,Physiotherapist,Diploma in Physiotherapy,IIT Delhi | IIT Bombay | SRM University,https://home.iitd.ac.in | https://www.iitb.ac.in | https://www.srmist.edu.in,part-time,28321
public speaking,Social,Science,Physiotherapist,BPT (Bachelor of Physiotherapy),Manipal University | SRM University | LPU,https://manipal.edu | https://www.srmist.edu.in | https://www.lpu.in,full-time,282344
public speaking,Social,Science,Physiotherapist,Diploma in Physiotherapy,SRM University | VIT Vellore | IIT Bombay,https://www.srmist.edu.in | https://vit.ac.in | https://www.iitb.ac.in,part-time,17483
research,Social,Science,Physiotherapist,BPT (Bachelor of Physiotherapy),Manipal University | SRM University | LPU,https://manipal.edu | https://www.srmist.edu.in | https://www.lpu.in,full-time,151901
research,Social,Science,Physiotherapist,Diploma in Physiotherapy,VIT Vellore | IIT Delhi | SRM University,https://vit.ac.in | https://home.iitd.ac.in | https://www.srmist.edu.in,part-time,69390
social work,Social,Science,Physiotherapist,BPT (Bachelor of Physiotherapy),Manipal University | SRM University | LPU,https://manipal.edu | https://www.srmist.edu.in | https://www.lpu.in,full-time,166382
social work,Social,Science,Physiotherapist,Diploma in Physiotherapy,IIT Delhi | VIT Vellore | SRM University,https://home.iitd.ac.in | https://vit.ac.in | https://www.srmist.edu.in,part-time,75743
designing,Social,Science,Physiotherapist,BPT (Bachelor of Physiotherapy),Manipal University | SRM University | LPU,https://manipal.edu | https://www.srmist.edu.in | https://www.lpu.in,full-time,237812
designing,Social,Science,Physiotherapist,Diploma in Physiotherapy,AIIMS Delhi | IIT Delhi | VIT Vellore,https://www.aiims.edu | https://home.iitd.ac.in | https://vit.ac.in,part-time,20512
gaming,Social,Science,Physiotherapist,BPT (Bachelor of Physiotherapy),Manipal University | SRM University | LPU,https://manipal.edu | https://www.srmist.edu.in | https://www.lpu.in,full-time,137393
gaming,Social,Science,Physiotherapist,Diploma in Physiotherapy,IIT Delhi | AIIMS Delhi | SRM University,https://home.iitd.ac.in | https://www.aiims.edu | https://www.srmist.edu.in,part-time,54011
coding,Leadership,Science,Pilot,B.Sc in Aviation,Hindustan University | Manipal University | LPU,https://hindustanuniv.ac.in | https://manipal.edu | https://www.lpu.in,full-time,315041
coding,Leadership,Science,Pilot,Commercial Pilot Training Program,AIIMS Delhi | IIT Bombay | SRM University,https://www.aiims.edu | https://www.iitb.ac.in | https://www.srmist.edu.in,part-time,39892
reading,Leadership,Science,Pilot,B.Sc in Aviation,Hindustan University | Manipal University | LPU,https://hindustanuniv.ac.in | https://manipal.edu | https://www.lpu.in,full-time,307734
reading,Leadership,Science,Pilot,Commercial Pilot Training Program,AIIMS Delhi | IIT Bombay | VIT Vellore,https://www.aiims.edu | https://www.iitb.ac.in | https://vit.ac.in,part-time,24572
drawing,Leadership,Science,Pilot,B.Sc in Aviation,Hindustan University | Manipal University | LPU,https://hindustanuniv.ac.in | https://manipal.edu | https://www.lpu.in,full-time,260139
drawing,Leadership,Science,Pilot,Commercial Pilot Training Program,IIT Delhi | SRM University | VIT Vellore,https://home.iitd.ac.in | https://www.srmist.edu.in | https://vit.ac.in,part-time,32086
public speaking,Leadership,Science,Pilot,B.Sc in Aviation,Hindustan University | Manipal University | LPU,https://hindustanuniv.ac.in | https://manipal.edu | https://www.lpu.in,full-time,267018
public speaking,Leadership,Science,Pilot,Commercial Pilot Training Program,IIT Delhi | IIT Bombay | AIIMS Delhi,https://home.iitd.ac.in | https://www.iitb.ac.in | https://www.aiims.edu,part-time,42602
research,Leadership,Science,Pilot,B.Sc in Aviation,Hindustan University | Manipal University | LPU,https://hindustanuniv.ac.in | https://manipal.edu | https://www.lpu.in,full-time,204300
research,Leadership,Science,Pilot,Commercial Pilot Training Program,AIIMS Delhi | VIT Vellore | IIT Bombay,https://www.aiims.edu | https://vit.ac.in | https://www.iitb.ac.in,part-time,54467
social work,Leadership,Science,Pilot,B.Sc in Aviation,Hindustan University | Manipal University | LPU,https://hindustanuniv.ac.in | https://manipal.edu | https://www.lpu.in,full-time,348313
social work,Leadership,Science,Pilot,Commercial Pilot Training Program,IIT Bombay | AIIMS Delhi | VIT Vellore,https://www.iitb.ac.in | https://www.aiims.edu | https://vit.ac.in,part-time,26620
designing,Leadership,Science,Pilot,B.Sc in Aviation,Hindustan University | Manipal University | LPU,https://hindustanuniv.ac.in | https://manipal.edu | https://www.lpu.in,full-time,212986
designing,Leadership,Science,Pilot,Commercial Pilot Training Program,AIIMS Delhi | IIT Bombay | SRM University,https://www.aiims.edu | https://www.iitb.ac.in | https://www.srmist.edu.in,part-time,33438
gaming,Leadership,Science,Pilot,B.Sc in Aviation,Hindustan University | Manipal University | LPU,https://hindustanuniv.ac.in | https://manipal.edu | https://www.lpu.in,full-time,141856
gaming,Leadership,Science,Pilot,Commercial Pilot Training Program,SRM University | AIIMS Delhi | IIT Bombay,https://www.srmist.edu.in | https://www.aiims.edu | https://www.iitb.ac.in,part-time,39627
coding,Leadership,Science,Defence Officer,NDA Training Program,VIT Vellore | SRM University | IIT Delhi,https://vit.ac.in | https://www.srmist.edu.in | https://home.iitd.ac.in,full-time,182549
coding,Leadership,Science,Defence Officer,Defence Coaching Program,VIT Vellore | SRM University | IIT Delhi,https://vit.ac.in | https://www.srmist.edu.in | https://home.iitd.ac.in,part-time,66171
reading,Leadership,Science,Defence Officer,NDA Training Program,IIT Bombay | SRM University | IIT Delhi,https://www.iitb.ac.in | https://www.srmist.edu.in | https://home.iitd.ac.in,full-time,266637
reading,Leadership,Science,Defence Officer,Defence Coaching Program,IIT Bombay | SRM University | IIT Delhi,https://www.iitb.ac.in | https://www.srmist.edu.in | https://home.iitd.ac.in,part-time,69320
drawing,Leadership,Science,Defence Officer,NDA Training Program,SRM University | AIIMS Delhi | VIT Vellore,https://www.srmist.edu.in | https://www.aiims.edu | https://vit.ac.in,full-time,147080
drawing,Leadership,Science,Defence Officer,Defence Coaching Program,SRM University | AIIMS Delhi | VIT Vellore,https://www.srmist.edu.in | https://www.aiims.edu | https://vit.ac.in,part-time,46103
public speaking,Leadership,Science,Defence Officer,NDA Training Program,IIT Bombay | VIT Vellore | SRM University,https://www.iitb.ac.in | https://vit.ac.in | https://www.srmist.edu.in,full-time,153580
public speaking,Leadership,Science,Defence Officer,Defence Coaching Program,IIT Bombay | VIT Vellore | SRM University,https://www.iitb.ac.in | https://vit.ac.in | https://www.srmist.edu.in,part-time,30091
research,Leadership,Science,Defence Officer,NDA Training Program,SRM University | AIIMS Delhi | IIT Bombay,https://www.srmist.edu.in | https://www.aiims.edu | https://www.iitb.ac.in,full-time,121060
research,Leadership,Science,Defence Officer,Defence Coaching Program,SRM University | AIIMS Delhi | IIT Bombay,https://www.srmist.edu.in | https://www.aiims.edu | https://www.iitb.ac.in,part-time,62061
social work,Leadership,Science,Defence Officer,NDA Training Program,VIT Vellore | IIT Bombay | AIIMS Delhi,https://vit.ac.in | https://www.iitb.ac.in | https://www.aiims.edu,full-time,176018
social work,Leadership,Science,Defence Officer,Defence Coaching Program,VIT Vellore | IIT Bombay | AIIMS Delhi,https://vit.ac.in | https://www.iitb.ac.in | https://www.aiims.edu,part-time,62494
designing,Leadership,Science,Defence Officer,NDA Training Program,IIT Delhi | AIIMS Delhi | VIT Vellore,https://home.iitd.ac.in | https://www.aiims.edu | https://vit.ac.in,full-time,155475
designing,Leadership,Science,Defence Officer,Defence Coaching Program,IIT Delhi | AIIMS Delhi | VIT Vellore,https://home.iitd.ac.in | https://www.aiims.edu | https://vit.ac.in,part-time,50119
gaming,Leadership,Science,Defence Officer,NDA Training Program,VIT Vellore | IIT Bombay | SRM University,https://vit.ac.in | https://www.iitb.ac.in | https://www.srmist.edu.in,full-time,275972
gaming,Leadership,Science,Defence Officer,Defence Coaching Program,VIT Vellore | IIT Bombay | SRM University,https://vit.ac.in | https://www.iitb.ac.in | https://www.srmist.edu.in,part-time,50779
coding,Leadership,Science,Professional Athlete,B.Sc in Sports Science,VIT Vellore | IIT Delhi | AIIMS Delhi,https://vit.ac.in | https://home.iitd.ac.in | https://www.aiims.edu,full-time,285851
coding,Leadership,Science,Professional Athlete,Diploma in Sports Coaching,VIT Vellore | IIT Delhi | AIIMS Delhi,https://vit.ac.in | https://home.iitd.ac.in | https://www.aiims.edu,part-time,27974
reading,Leadership,Science,Professional Athlete,B.Sc in Sports Science,VIT Vellore | IIT Delhi | IIT Bombay,https://vit.ac.in | https://home.iitd.ac.in | https://www.iitb.ac.in,full-time,206960
reading,Leadership,Science,Professional Athlete,Diploma in Sports Coaching,VIT Vellore | IIT Delhi | IIT Bombay,https://vit.ac.in | https://home.iitd.ac.in | https://www.iitb.ac.in,part-time,47818
drawing,Leadership,Science,Professional Athlete,B.Sc in Sports Science,IIT Bombay | IIT Delhi | VIT Vellore,https://www.iitb.ac.in | https://home.iitd.ac.in | https://vit.ac.in,full-time,317602
drawing,Leadership,Science,Professional Athlete,Diploma in Sports Coaching,IIT Bombay | IIT Delhi | VIT Vellore,https://www.iitb.ac.in | https://home.iitd.ac.in | https://vit.ac.in,part-time,18010
public speaking,Leadership,Science,Professional Athlete,B.Sc in Sports Science,SRM University | AIIMS Delhi | VIT Vellore,https://www.srmist.edu.in | https://www.aiims.edu | https://vit.ac.in,full-time,325568
public speaking,Leadership,Science,Professional Athlete,Diploma in Sports Coaching,SRM University | AIIMS Delhi | VIT Vellore,https://www.srmist.edu.in | https://www.aiims.edu | https://vit.ac.in,part-time,33342
research,Leadership,Science,Professional Athlete,B.Sc in Sports Science,VIT Vellore | IIT Bombay | IIT Delhi,https://vit.ac.in | https://www.iitb.ac.in | https://home.iitd.ac.in,full-time,337688
research,Leadership,Science,Professional Athlete,Diploma in Sports Coaching,VIT Vellore | IIT Bombay | IIT Delhi,https://vit.ac.in | https://www.iitb.ac.in | https://home.iitd.ac.in,part-time,53791
social work,Leadership,Science,Professional Athlete,B.Sc in Sports Science,AIIMS Delhi | IIT Delhi | IIT Bombay,https://www.aiims.edu | https://home.iitd.ac.in | https://www.iitb.ac.in,full-time,283125
social work,Leadership,Science,Professional Athlete,Diploma in Sports Coaching,AIIMS Delhi | IIT Delhi | IIT Bombay,https://www.aiims.edu | https://home.iitd.ac.in | https://www.iitb.ac.in,part-time,75782
designing,Leadership,Science,Professional Athlete,B.Sc in Sports Science,IIT Bombay | AIIMS Delhi | SRM University,https://www.iitb.ac.in | https://www.aiims.edu | https://www.srmist.edu.in,full-time,328776
designing,Leadership,Science,Professional Athlete,Diploma in Sports Coaching,IIT Bombay | AIIMS Delhi | SRM University,https://www.iitb.ac.in | https://www.aiims.edu | https://www.srmist.edu.in,part-time,59868
gaming,Leadership,Science,Professional Athlete,B.Sc in Sports Science,IIT Bombay | VIT Vellore | SRM University,https://www.iitb.ac.in | https://vit.ac.in | https://www.srmist.edu.in,full-time,163264
gaming,Leadership,Science,Professional Athlete,Diploma in Sports Coaching,IIT Bombay | VIT Vellore | SRM University,https://www.iitb.ac.in | https://vit.ac.in | https://www.srmist.edu.in,part-time,61296
coding,Social,Science,Fitness Trainer,B.Sc in Physical Education,IIT Bombay | AIIMS Delhi | IIT Delhi,https://www.iitb.ac.in | https://www.aiims.edu | https://home.iitd.ac.in,full-time,200515
coding,Social,Science,Fitness Trainer,Diploma in Fitness Training,IIT Bombay | AIIMS Delhi | IIT Delhi,https://www.iitb.ac.in | https://www.aiims.edu | https://home.iitd.ac.in,part-time,32397
reading,Social,Science,Fitness Trainer,B.Sc in Physical Education,IIT Delhi | VIT Vellore | SRM University,https://home.iitd.ac.in | https://vit.ac.in | https://www.srmist.edu.in,full-time,297572
reading,Social,Science,Fitness Trainer,Diploma in Fitness Training,IIT Delhi | VIT Vellore | SRM University,https://home.iitd.ac.in | https://vit.ac.in | https://www.srmist.edu.in,part-time,17532
drawing,Social,Science,Fitness Trainer,B.Sc in Physical Education,AIIMS Delhi | IIT Delhi | SRM University,https://www.aiims.edu | https://home.iitd.ac.in | https://www.srmist.edu.in,full-time,338423
drawing,Social,Science,Fitness Trainer,Diploma in Fitness Training,AIIMS Delhi | IIT Delhi | SRM University,https://www.aiims.edu | https://home.iitd.ac.in | https://www.srmist.edu.in,part-time,59176
public speaking,Social,Science,Fitness Trainer,B.Sc in Physical Education,IIT Delhi | AIIMS Delhi | IIT Bombay,https://home.iitd.ac.in | https://www.aiims.edu | https://www.iitb.ac.in,full-time,187325
public speaking,Social,Science,Fitness Trainer,Diploma in Fitness Training,IIT Delhi | AIIMS Delhi | IIT Bombay,https://home.iitd.ac.in | https://www.aiims.edu | https://www.iitb.ac.in,part-time,27142
research,Social,Science,Fitness Trainer,B.Sc in Physical Education,IIT Bombay | SRM University | IIT Delhi,https://www.iitb.ac.in | https://www.srmist.edu.in | https://home.iitd.ac.in,full-time,267147
research,Social,Science,Fitness Trainer,Diploma in Fitness Training,IIT Bombay | SRM University | IIT Delhi,https://www.iitb.ac.in | https://www.srmist.edu.in | https://home.iitd.ac.in,part-time,62145
social work,Social,Science,Fitness Trainer,B.Sc in Physical Education,IIT Delhi | SRM University | AIIMS Delhi,https://home.iitd.ac.in | https://www.srmist.edu.in | https://www.aiims.edu,full-time,124080
social work,Social,Science,Fitness Trainer,Diploma in Fitness Training,IIT Delhi | SRM University | AIIMS Delhi,https://home.iitd.ac.in | https://www.srmist.edu.in | https://www.aiims.edu,part-time,57214
designing,Social,Science,Fitness Trainer,B.Sc in Physical Education,AIIMS Delhi | IIT Bombay | IIT Delhi,https://www.aiims.edu | https://www.iitb.ac.in | https://home.iitd.ac.in,full-time,200519
designing,Social,Science,Fitness Trainer,Diploma in Fitness Training,AIIMS Delhi | IIT Bombay | IIT Delhi,https://www.aiims.edu | https://www.iitb.ac.in | https://home.iitd.ac.in,part-time,56480
gaming,Social,Science,Fitness Trainer,B.Sc in Physical Education,AIIMS Delhi | SRM University | IIT Bombay,https://www.aiims.edu | https://www.srmist.edu.in | https://www.iitb.ac.in,full-time,230970
gaming,Social,Science,Fitness Trainer,Diploma in Fitness Training,AIIMS Delhi | SRM University | IIT Bombay,https://www.aiims.edu | https://www.srmist.edu.in | https://www.iitb.ac.in,part-time,45300
coding,Analytical,Commerce,Chartered Accountant,B.Com + CA Preparation,NMIMS Mumbai | Shri Ram College of Commerce | Mumbai University,https://www.nmims.edu | https://www.srcc.edu | https://mu.ac.in,full-time,212680
coding,Analytical,Commerce,Chartered Accountant,CA Foundation Coaching Program,NMIMS Mumbai | Shri Ram College of Commerce | Mumbai University,https://www.nmims.edu | https://www.srcc.edu | https://mu.ac.in,part-time,56670
reading,Analytical,Commerce,Chartered Accountant,B.Com + CA Preparation,Symbiosis Pune | NMIMS Mumbai | Christ University,https://www.siu.edu.in | https://www.nmims.edu | https://christuniversity.in,full-time,157148
reading,Analytical,Commerce,Chartered Accountant,CA Foundation Coaching Program,Symbiosis Pune | NMIMS Mumbai | Christ University,https://www.siu.edu.in | https://www.nmims.edu | https://christuniversity.in,part-time,19157
drawing,Analytical,Commerce,Chartered Accountant,B.Com + CA Preparation,Symbiosis Pune | NMIMS Mumbai | Christ University,https://www.siu.edu.in | https://www.nmims.edu | https://christuniversity.in,full-time,176156
drawing,Analytical,Commerce,Chartered Accountant,CA Foundation Coaching Program,Symbiosis Pune | NMIMS Mumbai | Christ University,https://www.siu.edu.in | https://www.nmims.edu | https://christuniversity.in,part-time,17120
public speaking,Analytical,Commerce,Chartered Accountant,B.Com + CA Preparation,Christ University | Mumbai University | Shri Ram College of Commerce,https://christuniversity.in | https://mu.ac.in | https://www.srcc.edu,full-time,239059
public speaking,Analytical,Commerce,Chartered Accountant,CA Foundation Coaching Program,Christ University | Mumbai University | Shri Ram College of Commerce,https://christuniversity.in | https://mu.ac.in | https://www.srcc.edu,part-time,26669
research,Analytical,Commerce,Chartered Accountant,B.Com + CA Preparation,NMIMS Mumbai | Mumbai University | Symbiosis Pune,https://www.nmims.edu | https://mu.ac.in | https://www.siu.edu.in,full-time,272240
research,Analytical,Commerce,Chartered Accountant,CA Foundation Coaching Program,NMIMS Mumbai | Mumbai University | Symbiosis Pune,https://www.nmims.edu | https://mu.ac.in | https://www.siu.edu.in,part-time,69594
social work,Analytical,Commerce,Chartered Accountant,B.Com + CA Preparation,Shri Ram College of Commerce | NMIMS Mumbai | Symbiosis Pune,https://www.srcc.edu | https://www.nmims.edu | https://www.siu.edu.in,full-time,293722
social work,Analytical,Commerce,Chartered Accountant,CA Foundation Coaching Program,Shri Ram College of Commerce | NMIMS Mumbai | Symbiosis Pune,https://www.srcc.edu | https://www.nmims.edu | https://www.siu.edu.in,part-time,49628
designing,Analytical,Commerce,Chartered Accountant,B.Com + CA Preparation,Mumbai University | Symbiosis Pune | Christ University,https://mu.ac.in | https://www.siu.edu.in | https://christuniversity.in,full-time,131694
designing,Analytical,Commerce,Chartered Accountant,CA Foundation Coaching Program,Mumbai University | Symbiosis Pune | Christ University,https://mu.ac.in | https://www.siu.edu.in | https://christuniversity.in,part-time,15376
gaming,Analytical,Commerce,Chartered Accountant,B.Com + CA Preparation,Shri Ram College of Commerce | Symbiosis Pune | Christ University,https://www.srcc.edu | https://www.siu.edu.in | https://christuniversity.in,full-time,131002
gaming,Analytical,Commerce,Chartered Accountant,CA Foundation Coaching Program,Shri Ram College of Commerce | Symbiosis Pune | Christ University,https://www.srcc.edu | https://www.siu.edu.in | https://christuniversity.in,part-time,30628
coding,Analytical,Commerce,Investment Banker,BBA in Finance,NMIMS Mumbai | Symbiosis Pune | Christ University,https://nmims.edu | https://www.siu.edu.in | https://christuniversity.in,full-time,216325
coding,Analytical,Commerce,Investment Banker,Diploma in Investment Banking,Christ University | NMIMS Mumbai | Shri Ram College of Commerce,https://christuniversity.in | https://www.nmims.edu | https://www.srcc.edu,part-time,50739
reading,Analytical,Commerce,Investment Banker,BBA in Finance,NMIMS Mumbai | Symbiosis Pune | Christ University,https://nmims.edu | https://www.siu.edu.in | https://christuniversity.in,full-time,120425
reading,Analytical,Commerce,Investment Banker,Diploma in Investment Banking,Mumbai University | NMIMS Mumbai | Christ University,https://mu.ac.in | https://www.nmims.edu | https://christuniversity.in,part-time,25545
drawing,Analytical,Commerce,Investment Banker,BBA in Finance,NMIMS Mumbai | Symbiosis Pune | Christ University,https://nmims.edu | https://www.siu.edu.in | https://christuniversity.in,full-time,170115
drawing,Analytical,Commerce,Investment Banker,Diploma in Investment Banking,Symbiosis Pune | NMIMS Mumbai | Christ University,https://www.siu.edu.in | https://www.nmims.edu | https://christuniversity.in,part-time,23837
public speaking,Analytical,Commerce,Investment Banker,BBA in Finance,NMIMS Mumbai | Symbiosis Pune | Christ University,https://nmims.edu | https://www.siu.edu.in | https://christuniversity.in,full-time,96368
public speaking,Analytical,Commerce,Investment Banker,Diploma in Investment Banking,Christ University | Symbiosis Pune | NMIMS Mumbai,https://christuniversity.in | https://www.siu.edu.in | https://www.nmims.edu,part-time,38314
research,Analytical,Commerce,Investment Banker,BBA in Finance,NMIMS Mumbai | Symbiosis Pune | Christ University,https://nmims.edu | https://www.siu.edu.in | https://christuniversity.in,full-time,136663
research,Analytical,Commerce,Investment Banker,Diploma in Investment Banking,Mumbai University | Christ University | Shri Ram College of Commerce,https://mu.ac.in | https://christuniversity.in | https://www.srcc.edu,part-time,72186
social work,Analytical,Commerce,Investment Banker,BBA in Finance,NMIMS Mumbai | Symbiosis Pune | Christ University,https://nmims.edu | https://www.siu.edu.in | https://christuniversity.in,full-time,118827
social work,Analytical,Commerce,Investment Banker,Diploma in Investment Banking,Christ University | Shri Ram College of Commerce | NMIMS Mumbai,https://christuniversity.in | https://www.srcc.edu | https://www.nmims.edu,part-time,69700
designing,Analytical,Commerce,Investment Banker,BBA in Finance,NMIMS Mumbai | Symbiosis Pune | Christ University,https://nmims.edu | https://www.siu.edu.in | https://christuniversity.in,full-time,112015
designing,Analytical,Commerce,Investment Banker,Diploma in Investment Banking,NMIMS Mumbai | Christ University | Symbiosis Pune,https://www.nmims.edu | https://christuniversity.in | https://www.siu.edu.in,part-time,61148
gaming,Analytical,Commerce,Investment Banker,BBA in Finance,NMIMS Mumbai | Symbiosis Pune | Christ University,https://nmims.edu | https://www.siu.edu.in | https://christuniversity.in,full-time,167992
gaming,Analytical,Commerce,Investment Banker,Diploma in Investment Banking,NMIMS Mumbai | Christ University | Shri Ram College of Commerce,https://www.nmims.edu | https://christuniversity.in | https://www.srcc.edu,part-time,53512
coding,Analytical,Commerce,Business Analyst,BBA in Business Analytics,NMIMS Mumbai | Christ University | Amity University,https://nmims.edu | https://christuniversity.in | https://www.amity.edu,full-time,205211
coding,Analytical,Commerce,Business Analyst,Diploma in Business Analytics,Shri Ram College of Commerce | Mumbai University | Christ University,https://www.srcc.edu | https://mu.ac.in | https://christuniversity.in,part-time,56929
reading,Analytical,Commerce,Business Analyst,BBA in Business Analytics,NMIMS Mumbai | Christ University | Amity University,https://nmims.edu | https://christuniversity.in | https://www.amity.edu,full-time,252719
reading,Analytical,Commerce,Business Analyst,Diploma in Business Analytics,Symbiosis Pune | Mumbai University | Christ University,https://www.siu.edu.in | https://mu.ac.in | https://christuniversity.in,part-time,61083
drawing,Analytical,Commerce,Business Analyst,BBA in Business Analytics,NMIMS Mumbai | Christ University | Amity University,https://nmims.edu | https://christuniversity.in | https://www.amity.edu,full-time,196984
drawing,Analytical,Commerce,Business Analyst,Diploma in Business Analytics,NMIMS Mumbai | Mumbai University | Shri Ram College of Commerce,https://www.nmims.edu | https://mu.ac.in | https://www.srcc.edu,part-time,30646
public speaking,Analytical,Commerce,Business Analyst,BBA in Business Analytics,NMIMS Mumbai | Christ University | Amity University,https://nmims.edu | https://christuniversity.in | https://www.amity.edu,full-time,265176
public speaking,Analytical,Commerce,Business Analyst,Diploma in Business Analytics,Shri Ram College of Commerce | Christ University | Symbiosis Pune,https://www.srcc.edu | https://christuniversity.in | https://www.siu.edu.in,part-time,36416
research,Analytical,Commerce,Business Analyst,BBA in Business Analytics,NMIMS Mumbai | Christ University | Amity University,https://nmims.edu | https://christuniversity.in | https://www.amity.edu,full-time,203953
research,Analytical,Commerce,Business Analyst,Diploma in Business Analytics,Shri Ram College of Commerce | Mumbai University | Christ University,https://www.srcc.edu | https://mu.ac.in | https://christuniversity.in,part-time,60701
social work,Analytical,Commerce,Business Analyst,BBA in Business Analytics,NMIMS Mumbai | Christ University | Amity University,https://nmims.edu | https://christuniversity.in | https://www.amity.edu,full-time,103799
social work,Analytical,Commerce,Business Analyst,Diploma in Business Analytics,Symbiosis Pune | Mumbai University | Shri Ram College of Commerce,https://www.siu.edu.in | https://mu.ac.in | https://www.srcc.edu,part-time,73178
designing,Analytical,Commerce,Business Analyst,BBA in Business Analytics,NMIMS Mumbai | Christ University | Amity University,https://nmims.edu | https://christuniversity.in | https://www.amity.edu,full-time,249445
designing,Analytical,Commerce,Business Analyst,Diploma in Business Analytics,NMIMS Mumbai | Symbiosis Pune | Mumbai University,https://www.nmims.edu | https://www.siu.edu.in | https://mu.ac.in,part-time,35227
gaming,Analytical,Commerce,Business Analyst,BBA in Business Analytics,NMIMS Mumbai | Christ University | Amity University,https://nmims.edu | https://christuniversity.in | https://www.amity.edu,full-time,287373
gaming,Analytical,Commerce,Business Analyst,Diploma in Business Analytics,Shri Ram College of Commerce | Mumbai University | Christ University,https://www.srcc.edu | https://mu.ac.in | https://christuniversity.in,part-time,48049
